timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
11:03:20:003,1,2063.970932,00000221,48,1264,0,0.0,0,0000005a
11:03:34:030,1,2074.693077,00000228,385,384,0,527.787565803,14,0000001f
11:03:48:289,1,2090.212747,00000230,416,379,0,367.56634047,13,0000000f
11:04:12:726,1,2113.654218,0000023f,313,430,0,502.654824574,16,00000037
11:04:24:670,1,2123.932795,00000248,331,408,0,530.929158457,13,00000024
11:04:36:466,1,2139.298200,0000024f,355,458,0,339.292006588,12,00000000
11:05:08:494,1,2170.014623,0000025e,336,235,0,301.592894745,12,00000039
11:05:14:526,1,2176.507937,00000261,235,167,0,640.884901332,17,0000003d
11:06:28:241,1,2250.504586,0000027e,395,942,0,424.115008235,15,00000051
11:08:10:559,1,2352.794400,000002a4,337,221,0,0.0,0,00000043
11:08:20:349,1,2361.550483,000002a7,407,863,0,449.247749463,13,00000024
